Date of Journey,Class of Travel,Quota,From,To,Booking Date,Current Status,Number of Passengers,Age of Passengers,Travel Time,Special Considerations,Confirmation Status
11-09-2051,Sleeper,General,Bengaluru,Chennai,10-01-2051,RAC,1,Child,46,Defense Quota,Confirmed
14-09-2051,3AC,General,Bhavnagar,Lucknow,13-01-2051,RAC,3,Adult,8,None,Confirmed
15-09-2051,2AC,General,Mumbai,Navsari,14-01-2051,Confirmed,3,Child,12,None,Confirmed
21-09-2051,3AC,Tatkal,Bengaluru,New Delhi,20-01-2051,Confirmed,4,Adult,14,Defense Quota,Confirmed
23-09-2051,1AC,General,New Delhi,Ahmedabad,22-01-2051,Waitlisted,2,Senior Citizen,46,None,Not Confirmed
30-09-2051,3AC,Ladies,Chennai,Bhavnagar,29-01-2051,Waitlisted,5,Senior Citizen,12,None,Not Confirmed
09-10-2051,Sleeper,Tatkal,Bengaluru,Bengaluru,07-02-2051,RAC,2,Child,42,Defense Quota,Confirmed
10-10-2051,Sleeper,Premium Tatkal,Lucknow,Surat,08-02-2051,RAC,2,Child,41,Senior Citizen,Confirmed
12-10-2051,3AC,Premium Tatkal,Howrah,Chennai,10-02-2051,Confirmed,3,Child,11,Senior Citizen,Confirmed
17-10-2051,2AC,Premium Tatkal,Lucknow,Chennai,15-02-2051,Waitlisted,3,Adult,37,Senior Citizen,Not Confirmed
18-10-2051,1AC,Premium Tatkal,Bharuch,New Delhi,16-02-2051,RAC,1,Adult,40,Defense Quota,Confirmed
20-10-2051,1AC,Ladies,Ahmedabad,Howrah,18-02-2051,Waitlisted,3,Child,21,None,Not Confirmed
21-10-2051,1AC,Ladies,Bharuch,Bhavnagar,19-02-2051,RAC,5,Adult,37,None,Confirmed
27-10-2051,3AC,Premium Tatkal,Bengaluru,Bengaluru,25-02-2051,Confirmed,4,Senior Citizen,17,Senior Citizen,Confirmed
29-10-2051,1AC,Ladies,Navsari,Bengaluru,27-02-2051,Waitlisted,5,Child,33,Defense Quota,Not Confirmed
01-11-2051,2AC,Premium Tatkal,Lucknow,Chennai,02-03-2051,RAC,3,Senior Citizen,47,None,Confirmed
04-11-2051,3AC,Premium Tatkal,Navsari,Howrah,05-03-2051,Confirmed,5,Senior Citizen,42,Senior Citizen,Confirmed
05-11-2051,3AC,Premium Tatkal,Bhavnagar,Chennai,06-03-2051,Confirmed,5,Child,35,None,Confirmed
06-11-2051,1AC,Ladies,Surat,Surat,07-03-2051,Waitlisted,3,Child,11,Defense Quota,Not Confirmed
15-11-2051,Sleeper,General,New Delhi,New Delhi,16-03-2051,Waitlisted,5,Adult,39,None,Not Confirmed
25-11-2051,1AC,Premium Tatkal,Mumbai,Ahmedabad,26-03-2051,Waitlisted,2,Senior Citizen,41,Senior Citizen,Not Confirmed
27-11-2051,1AC,Ladies,Mumbai,Bharuch,28-03-2051,Confirmed,2,Senior Citizen,36,Defense Quota,Confirmed
29-11-2051,2AC,Tatkal,Surat,Bhavnagar,30-03-2051,Confirmed,2,Senior Citizen,44,None,Confirmed
01-12-2051,3AC,Premium Tatkal,Mumbai,Bharuch,01-04-2051,Confirmed,1,Child,9,None,Confirmed
04-12-2051,Sleeper,Tatkal,Bharuch,Ahmedabad,04-04-2051,Waitlisted,2,Child,5,Defense Quota,Not Confirmed
05-12-2051,1AC,Premium Tatkal,Surat,Bengaluru,05-04-2051,Waitlisted,1,Child,13,None,Not Confirmed
08-12-2051,3AC,Tatkal,Chennai,Navsari,08-04-2051,Confirmed,4,Senior Citizen,22,Senior Citizen,Confirmed
16-12-2051,1AC,Premium Tatkal,Howrah,Bengaluru,16-04-2051,RAC,2,Child,34,None,Confirmed
19-12-2051,2AC,Tatkal,Bhavnagar,Bharuch,19-04-2051,RAC,1,Adult,19,Senior Citizen,Confirmed
26-12-2051,3AC,Tatkal,Ahmedabad,Howrah,26-04-2051,RAC,4,Child,38,Defense Quota,Confirmed
27-12-2051,2AC,Ladies,Navsari,Lucknow,27-04-2051,Waitlisted,4,Child,5,Senior Citizen,Not Confirmed
30-12-2051,Sleeper,Tatkal,Navsari,Lucknow,30-04-2051,RAC,5,Senior Citizen,5,None,Confirmed
01-01-2052,1AC,Tatkal,Chennai,New Delhi,02-05-2051,Waitlisted,2,Child,30,Defense Quota,Not Confirmed
02-01-2052,3AC,Ladies,Mumbai,Navsari,03-05-2051,Confirmed,5,Senior Citizen,42,Senior Citizen,Confirmed
08-01-2052,1AC,General,Ahmedabad,Bharuch,09-05-2051,Confirmed,3,Child,36,Defense Quota,Confirmed
09-01-2052,1AC,Ladies,Howrah,Bharuch,10-05-2051,RAC,1,Child,34,Defense Quota,Confirmed
16-01-2052,Sleeper,Ladies,Lucknow,Navsari,17-05-2051,RAC,3,Senior Citizen,7,Defense Quota,Confirmed
26-01-2052,2AC,Premium Tatkal,Howrah,Navsari,27-05-2051,RAC,1,Adult,40,Senior Citizen,Confirmed
27-01-2052,2AC,Tatkal,Ahmedabad,Bengaluru,28-05-2051,RAC,1,Child,33,None,Confirmed
29-01-2052,1AC,General,Lucknow,Bharuch,30-05-2051,Waitlisted,1,Adult,12,Defense Quota,Not Confirmed
01-02-2052,2AC,General,Surat,Navsari,02-06-2051,Waitlisted,1,Adult,19,Senior Citizen,Not Confirmed
06-02-2052,2AC,General,Bhavnagar,Bhavnagar,07-06-2051,RAC,1,Adult,46,Senior Citizen,Confirmed
07-02-2052,2AC,Premium Tatkal,Lucknow,Bharuch,08-06-2051,Confirmed,3,Adult,16,Defense Quota,Confirmed
11-02-2052,2AC,Ladies,Navsari,Ahmedabad,12-06-2051,Waitlisted,4,Child,39,Senior Citizen,Not Confirmed
27-02-2052,3AC,Tatkal,Lucknow,Howrah,28-06-2051,Confirmed,3,Senior Citizen,31,None,Confirmed
01-03-2052,1AC,Tatkal,Chennai,Mumbai,01-07-2051,RAC,4,Senior Citizen,31,Defense Quota,Confirmed
02-03-2052,Sleeper,Premium Tatkal,Bhavnagar,Navsari,02-07-2051,Waitlisted,1,Senior Citizen,18,None,Not Confirmed
03-03-2052,3AC,Ladies,Lucknow,Navsari,03-07-2051,Waitlisted,2,Senior Citizen,39,Senior Citizen,Not Confirmed
07-03-2052,3AC,Premium Tatkal,Bengaluru,Bharuch,07-07-2051,Waitlisted,4,Child,6,None,Not Confirmed
09-03-2052,1AC,General,Lucknow,Surat,09-07-2051,Confirmed,3,Adult,40,Senior Citizen,Confirmed
20-03-2052,1AC,Ladies,Chennai,Chennai,20-07-2051,Confirmed,4,Child,41,Senior Citizen,Confirmed
24-03-2052,3AC,Ladies,Chennai,New Delhi,24-07-2051,Waitlisted,2,Adult,9,Defense Quota,Not Confirmed
25-03-2052,Sleeper,Tatkal,Chennai,Mumbai,25-07-2051,RAC,4,Senior Citizen,14,Senior Citizen,Confirmed
01-04-2052,3AC,General,Howrah,Navsari,01-08-2051,RAC,3,Adult,10,Defense Quota,Confirmed
02-04-2052,Sleeper,Premium Tatkal,Ahmedabad,Bharuch,02-08-2051,Confirmed,1,Senior Citizen,30,Senior Citizen,Confirmed
04-04-2052,3AC,General,New Delhi,Bharuch,04-08-2051,Waitlisted,1,Child,15,Defense Quota,Not Confirmed
06-04-2052,1AC,Ladies,Chennai,Howrah,06-08-2051,Waitlisted,5,Senior Citizen,30,Senior Citizen,Not Confirmed
09-04-2052,Sleeper,Ladies,Lucknow,Chennai,09-08-2051,Confirmed,5,Child,25,None,Confirmed
13-04-2052,3AC,General,Howrah,Lucknow,13-08-2051,Confirmed,3,Adult,39,Defense Quota,Confirmed
14-04-2052,3AC,General,Chennai,Navsari,14-08-2051,Waitlisted,3,Senior Citizen,13,Senior Citizen,Not Confirmed
20-04-2052,3AC,Premium Tatkal,Bengaluru,Bharuch,20-08-2051,Confirmed,2,Senior Citizen,12,None,Confirmed
23-04-2052,3AC,General,New Delhi,Bharuch,23-08-2051,RAC,4,Adult,14,Defense Quota,Confirmed
25-04-2052,3AC,Premium Tatkal,Ahmedabad,Howrah,25-08-2051,Waitlisted,2,Child,22,Defense Quota,Not Confirmed
30-04-2052,1AC,General,Bharuch,Navsari,30-08-2051,RAC,3,Child,47,None,Confirmed
10-05-2052,3AC,General,Surat,Bengaluru,09-09-2051,RAC,1,Senior Citizen,31,Senior Citizen,Confirmed
11-05-2052,Sleeper,Premium Tatkal,Bhavnagar,Lucknow,10-09-2051,RAC,2,Adult,15,None,Confirmed
13-05-2052,3AC,Tatkal,Howrah,Ahmedabad,12-09-2051,Waitlisted,2,Senior Citizen,46,None,Not Confirmed
21-05-2052,3AC,General,Ahmedabad,Howrah,20-09-2051,Waitlisted,1,Senior Citizen,29,None,Not Confirmed
24-05-2052,Sleeper,Premium Tatkal,Surat,Lucknow,23-09-2051,Waitlisted,4,Child,9,Senior Citizen,Not Confirmed
26-05-2052,3AC,Ladies,Bengaluru,Ahmedabad,25-09-2051,RAC,1,Child,39,Senior Citizen,Confirmed
03-06-2052,1AC,General,Howrah,Chennai,03-10-2051,RAC,3,Senior Citizen,41,Defense Quota,Confirmed
09-06-2052,2AC,Ladies,Howrah,Bhavnagar,09-10-2051,Confirmed,5,Adult,32,Senior Citizen,Confirmed
13-06-2052,2AC,Premium Tatkal,Mumbai,Lucknow,13-10-2051,Confirmed,2,Child,5,Defense Quota,Confirmed
17-06-2052,1AC,Ladies,Chennai,Surat,17-10-2051,RAC,4,Senior Citizen,36,None,Confirmed
19-06-2052,2AC,Tatkal,Navsari,Lucknow,19-10-2051,Waitlisted,2,Child,25,None,Not Confirmed
26-06-2052,1AC,Premium Tatkal,Mumbai,Bhavnagar,26-10-2051,RAC,2,Senior Citizen,27,Senior Citizen,Confirmed
30-06-2052,3AC,General,Navsari,Navsari,30-10-2051,Waitlisted,1,Senior Citizen,9,None,Not Confirmed
02-07-2052,3AC,Ladies,Bhavnagar,Ahmedabad,01-11-2051,RAC,2,Child,8,None,Confirmed
03-07-2052,3AC,Ladies,Surat,Bharuch,02-11-2051,Confirmed,4,Adult,45,Defense Quota,Confirmed
04-07-2052,Sleeper,Premium Tatkal,Chennai,Howrah,03-11-2051,Waitlisted,2,Senior Citizen,8,None,Not Confirmed
12-07-2052,3AC,General,Chennai,Bhavnagar,11-11-2051,RAC,5,Senior Citizen,39,Defense Quota,Confirmed
13-07-2052,1AC,Ladies,Surat,Navsari,12-11-2051,Waitlisted,2,Senior Citizen,45,Defense Quota,Not Confirmed
19-07-2052,3AC,Ladies,New Delhi,Ahmedabad,18-11-2051,RAC,4,Senior Citizen,20,None,Confirmed
23-07-2052,3AC,Premium Tatkal,Howrah,Bhavnagar,22-11-2051,RAC,1,Child,27,None,Confirmed
25-07-2052,Sleeper,Premium Tatkal,Surat,Ahmedabad,24-11-2051,Waitlisted,4,Child,4,None,Not Confirmed
30-07-2052,Sleeper,Premium Tatkal,Bhavnagar,Ahmedabad,29-11-2051,Waitlisted,4,Senior Citizen,30,Senior Citizen,Not Confirmed
01-08-2052,3AC,Premium Tatkal,Bhavnagar,Navsari,01-12-2051,Waitlisted,2,Child,7,Defense Quota,Not Confirmed
08-08-2052,1AC,General,Lucknow,Bengaluru,08-12-2051,Confirmed,1,Child,30,Defense Quota,Confirmed
09-08-2052,Sleeper,General,Navsari,Lucknow,09-12-2051,RAC,1,Senior Citizen,3,Defense Quota,Confirmed
11-08-2052,1AC,Premium Tatkal,Mumbai,Bhavnagar,11-12-2051,RAC,5,Child,42,Defense Quota,Confirmed
13-08-2052,2AC,Premium Tatkal,Bharuch,Howrah,13-12-2051,Waitlisted,1,Adult,8,None,Not Confirmed
19-08-2052,Sleeper,Tatkal,Bengaluru,Bharuch,19-12-2051,Waitlisted,4,Child,26,None,Not Confirmed
20-08-2052,1AC,Premium Tatkal,Bengaluru,Bhavnagar,20-12-2051,Confirmed,5,Child,45,None,Confirmed
25-08-2052,1AC,General,Lucknow,New Delhi,25-12-2051,RAC,3,Adult,39,Senior Citizen,Confirmed
27-08-2052,3AC,Tatkal,Chennai,Chennai,27-12-2051,RAC,5,Child,27,Defense Quota,Confirmed
31-08-2052,2AC,General,Mumbai,Bengaluru,31-12-2051,Waitlisted,3,Adult,35,Senior Citizen,Not Confirmed
01-09-2052,1AC,Ladies,Navsari,Mumbai,01-01-2052,RAC,5,Adult,16,Defense Quota,Confirmed
08-09-2052,2AC,Ladies,Lucknow,Chennai,08-01-2052,Waitlisted,5,Senior Citizen,16,None,Not Confirmed
10-09-2052,2AC,General,New Delhi,Chennai,10-01-2052,Waitlisted,2,Adult,5,Senior Citizen,Not Confirmed
11-09-2052,Sleeper,General,Lucknow,Bengaluru,11-01-2052,Waitlisted,1,Child,19,Senior Citizen,Not Confirmed
18-09-2052,1AC,Ladies,New Delhi,Lucknow,18-01-2052,Confirmed,1,Adult,6,None,Confirmed
20-09-2052,Sleeper,General,Howrah,Navsari,20-01-2052,Waitlisted,4,Adult,25,Defense Quota,Not Confirmed
26-09-2052,3AC,General,Ahmedabad,Navsari,26-01-2052,Confirmed,2,Senior Citizen,31,Senior Citizen,Confirmed
27-09-2052,2AC,Tatkal,Bengaluru,Mumbai,27-01-2052,Confirmed,4,Senior Citizen,16,Senior Citizen,Confirmed
28-09-2052,3AC,Tatkal,Bharuch,New Delhi,28-01-2052,RAC,2,Adult,40,Defense Quota,Confirmed
30-09-2052,1AC,Ladies,Ahmedabad,Howrah,30-01-2052,Waitlisted,3,Senior Citizen,34,Defense Quota,Not Confirmed
03-10-2052,2AC,Premium Tatkal,Mumbai,Howrah,02-02-2052,RAC,5,Adult,9,Defense Quota,Confirmed
04-10-2052,1AC,Tatkal,New Delhi,Mumbai,03-02-2052,Waitlisted,1,Child,25,None,Not Confirmed
09-10-2052,2AC,Premium Tatkal,Lucknow,Bengaluru,08-02-2052,Waitlisted,2,Senior Citizen,16,Defense Quota,Not Confirmed
10-10-2052,Sleeper,Premium Tatkal,Ahmedabad,Bengaluru,09-02-2052,RAC,3,Child,16,Defense Quota,Confirmed
13-10-2052,Sleeper,Ladies,Surat,Bhavnagar,12-02-2052,Confirmed,1,Adult,41,Defense Quota,Confirmed
18-10-2052,3AC,Tatkal,Navsari,New Delhi,17-02-2052,Confirmed,5,Adult,33,Defense Quota,Confirmed
19-10-2052,1AC,Tatkal,Lucknow,New Delhi,18-02-2052,RAC,5,Adult,46,Senior Citizen,Confirmed
21-10-2052,Sleeper,General,Lucknow,New Delhi,20-02-2052,Confirmed,3,Adult,16,None,Confirmed
31-10-2052,Sleeper,General,Surat,New Delhi,01-03-2052,Waitlisted,5,Child,25,Defense Quota,Not Confirmed
03-11-2052,1AC,General,Surat,Bengaluru,04-03-2052,Confirmed,4,Child,44,Senior Citizen,Confirmed
06-11-2052,Sleeper,Tatkal,Bharuch,New Delhi,07-03-2052,Waitlisted,4,Child,37,Defense Quota,Not Confirmed
12-11-2052,Sleeper,General,Chennai,Chennai,13-03-2052,Waitlisted,5,Senior Citizen,34,Defense Quota,Not Confirmed
15-11-2052,Sleeper,Premium Tatkal,Lucknow,Chennai,16-03-2052,RAC,5,Child,12,Senior Citizen,Confirmed
16-11-2052,2AC,Tatkal,Surat,New Delhi,17-03-2052,Waitlisted,4,Child,26,None,Not Confirmed
17-11-2052,Sleeper,Tatkal,Bengaluru,Surat,18-03-2052,Confirmed,1,Senior Citizen,14,Defense Quota,Confirmed
22-11-2052,3AC,General,Bhavnagar,Navsari,23-03-2052,RAC,5,Child,29,Senior Citizen,Confirmed
23-11-2052,2AC,Premium Tatkal,Bharuch,Ahmedabad,24-03-2052,Waitlisted,4,Child,23,Defense Quota,Not Confirmed
25-11-2052,2AC,General,Bengaluru,Howrah,26-03-2052,Confirmed,1,Adult,20,None,Confirmed
28-11-2052,Sleeper,Tatkal,New Delhi,Chennai,29-03-2052,Waitlisted,1,Child,15,Defense Quota,Not Confirmed
29-11-2052,1AC,Premium Tatkal,Surat,New Delhi,30-03-2052,Waitlisted,5,Adult,17,Senior Citizen,Not Confirmed
02-12-2052,3AC,Premium Tatkal,Navsari,Mumbai,02-04-2052,Waitlisted,4,Senior Citizen,15,None,Not Confirmed
09-12-2052,Sleeper,Premium Tatkal,New Delhi,Ahmedabad,09-04-2052,Waitlisted,2,Senior Citizen,25,None,Not Confirmed
10-12-2052,3AC,Ladies,Surat,Chennai,10-04-2052,RAC,5,Child,22,None,Confirmed
13-12-2052,3AC,Ladies,Bhavnagar,Chennai,13-04-2052,RAC,2,Adult,38,Defense Quota,Confirmed
14-12-2052,3AC,Premium Tatkal,Ahmedabad,Bharuch,14-04-2052,Confirmed,2,Child,23,Defense Quota,Confirmed
15-12-2052,Sleeper,Tatkal,Mumbai,Chennai,15-04-2052,RAC,2,Child,30,Defense Quota,Confirmed
16-12-2052,2AC,Tatkal,Chennai,Surat,16-04-2052,RAC,3,Adult,18,None,Confirmed
30-12-2052,1AC,Tatkal,Chennai,Surat,30-04-2052,RAC,3,Adult,33,Senior Citizen,Confirmed
03-01-2053,2AC,Tatkal,Chennai,Ahmedabad,04-05-2052,RAC,5,Senior Citizen,14,Senior Citizen,Confirmed
05-01-2053,1AC,Premium Tatkal,Lucknow,Bengaluru,06-05-2052,Confirmed,1,Adult,19,None,Confirmed
07-01-2053,2AC,General,Chennai,New Delhi,08-05-2052,RAC,1,Adult,41,Senior Citizen,Confirmed
12-01-2053,Sleeper,Premium Tatkal,Bhavnagar,New Delhi,13-05-2052,Waitlisted,2,Senior Citizen,8,Senior Citizen,Not Confirmed
13-01-2053,1AC,Ladies,Ahmedabad,Ahmedabad,14-05-2052,Waitlisted,3,Child,24,None,Not Confirmed
18-01-2053,3AC,Premium Tatkal,Surat,Chennai,19-05-2052,RAC,4,Senior Citizen,10,Senior Citizen,Confirmed
19-01-2053,2AC,Premium Tatkal,Bengaluru,Bhavnagar,20-05-2052,Confirmed,4,Senior Citizen,26,None,Confirmed
22-01-2053,1AC,Premium Tatkal,Ahmedabad,Bharuch,23-05-2052,Waitlisted,1,Senior Citizen,33,Senior Citizen,Not Confirmed
05-02-2053,1AC,General,Howrah,Chennai,06-06-2052,RAC,5,Child,19,None,Confirmed
15-02-2053,Sleeper,Tatkal,Ahmedabad,Mumbai,16-06-2052,Confirmed,5,Senior Citizen,18,Senior Citizen,Confirmed
18-02-2053,1AC,General,Bhavnagar,Chennai,19-06-2052,RAC,3,Adult,16,None,Confirmed
22-02-2053,3AC,General,New Delhi,Surat,23-06-2052,RAC,4,Child,18,None,Confirmed
24-02-2053,Sleeper,Ladies,Lucknow,Howrah,25-06-2052,Confirmed,1,Adult,12,Senior Citizen,Confirmed
28-02-2053,1AC,Tatkal,Ahmedabad,Mumbai,29-06-2052,Waitlisted,5,Adult,46,Defense Quota,Not Confirmed
01-03-2053,1AC,General,Navsari,Bharuch,30-06-2052,Waitlisted,1,Adult,25,None,Not Confirmed
07-03-2053,Sleeper,Tatkal,Howrah,Bengaluru,06-07-2052,Confirmed,2,Child,15,Defense Quota,Confirmed
09-03-2053,2AC,General,Howrah,Chennai,08-07-2052,Waitlisted,2,Adult,28,None,Not Confirmed
12-03-2053,Sleeper,Ladies,Bhavnagar,Lucknow,11-07-2052,RAC,5,Child,22,None,Confirmed
15-03-2053,1AC,Premium Tatkal,Navsari,Bhavnagar,14-07-2052,Waitlisted,1,Child,45,Defense Quota,Not Confirmed
16-03-2053,2AC,Premium Tatkal,Bhavnagar,Howrah,15-07-2052,Confirmed,4,Adult,2,Senior Citizen,Confirmed
17-03-2053,3AC,General,Navsari,Surat,16-07-2052,Confirmed,3,Child,36,Senior Citizen,Confirmed
18-03-2053,2AC,Tatkal,Navsari,Ahmedabad,17-07-2052,Waitlisted,1,Senior Citizen,19,Senior Citizen,Not Confirmed
22-03-2053,Sleeper,General,Bhavnagar,Lucknow,21-07-2052,RAC,2,Child,19,Defense Quota,Confirmed
24-03-2053,Sleeper,Tatkal,New Delhi,Bengaluru,23-07-2052,RAC,4,Child,39,Defense Quota,Confirmed
25-03-2053,2AC,Ladies,Surat,Howrah,24-07-2052,RAC,4,Child,30,None,Confirmed
29-03-2053,3AC,Ladies,Bhavnagar,Mumbai,28-07-2052,RAC,4,Child,43,Defense Quota,Confirmed
30-03-2053,3AC,Ladies,Bhavnagar,Surat,29-07-2052,Waitlisted,3,Child,3,Senior Citizen,Not Confirmed
01-04-2053,1AC,Ladies,Mumbai,Ahmedabad,31-07-2052,Confirmed,5,Adult,23,None,Confirmed
02-04-2053,2AC,Tatkal,Navsari,Howrah,01-08-2052,RAC,1,Senior Citizen,23,None,Confirmed
04-04-2053,Sleeper,Ladies,New Delhi,Surat,03-08-2052,RAC,5,Adult,36,Defense Quota,Confirmed
08-04-2053,1AC,General,Chennai,Surat,07-08-2052,Confirmed,4,Child,12,Senior Citizen,Confirmed
10-04-2053,1AC,Premium Tatkal,Bengaluru,Howrah,09-08-2052,Confirmed,4,Child,44,None,Confirmed
22-04-2053,2AC,General,Bengaluru,Bengaluru,21-08-2052,Waitlisted,2,Child,46,Senior Citizen,Not Confirmed
30-04-2053,Sleeper,Premium Tatkal,Bharuch,Bharuch,29-08-2052,RAC,4,Adult,17,Senior Citizen,Confirmed
14-05-2053,3AC,Ladies,New Delhi,Surat,12-09-2052,RAC,1,Child,46,Defense Quota,Confirmed
15-05-2053,2AC,Premium Tatkal,Bharuch,Ahmedabad,13-09-2052,Waitlisted,2,Adult,19,None,Not Confirmed
17-05-2053,Sleeper,Ladies,Navsari,Chennai,15-09-2052,Confirmed,2,Adult,9,None,Confirmed
09-06-2053,Sleeper,General,Bhavnagar,New Delhi,08-10-2052,RAC,3,Child,24,None,Confirmed
15-06-2053,3AC,Ladies,Bharuch,Howrah,14-10-2052,Confirmed,5,Senior Citizen,9,Senior Citizen,Confirmed
19-06-2053,Sleeper,Tatkal,Chennai,Bharuch,18-10-2052,Confirmed,1,Senior Citizen,13,None,Confirmed
20-06-2053,2AC,General,Mumbai,Howrah,19-10-2052,Confirmed,1,Child,15,Senior Citizen,Confirmed
24-06-2053,2AC,Tatkal,New Delhi,Ahmedabad,23-10-2052,Confirmed,3,Senior Citizen,22,None,Confirmed
30-06-2053,3AC,General,Lucknow,Bhavnagar,29-10-2052,Waitlisted,3,Senior Citizen,17,None,Not Confirmed
02-07-2053,3AC,Premium Tatkal,Mumbai,Bharuch,31-10-2052,Waitlisted,5,Adult,7,None,Not Confirmed
04-07-2053,3AC,Tatkal,Mumbai,Lucknow,02-11-2052,RAC,1,Senior Citizen,17,None,Confirmed
06-07-2053,Sleeper,Tatkal,New Delhi,Navsari,04-11-2052,Confirmed,2,Child,20,None,Confirmed
09-07-2053,2AC,Ladies,New Delhi,Bengaluru,07-11-2052,RAC,4,Senior Citizen,11,None,Confirmed
12-07-2053,Sleeper,Premium Tatkal,Lucknow,Navsari,10-11-2052,Confirmed,2,Child,27,Defense Quota,Confirmed
15-07-2053,Sleeper,Ladies,Howrah,Bengaluru,13-11-2052,Waitlisted,3,Adult,36,None,Not Confirmed
23-07-2053,2AC,Premium Tatkal,Surat,Bhavnagar,21-11-2052,RAC,2,Senior Citizen,31,Senior Citizen,Confirmed
26-07-2053,1AC,Ladies,New Delhi,Bharuch,24-11-2052,Waitlisted,4,Child,22,None,Not Confirmed
27-07-2053,1AC,General,Surat,Bengaluru,25-11-2052,Confirmed,3,Adult,28,None,Confirmed
30-07-2053,3AC,Ladies,Bharuch,Bhavnagar,28-11-2052,Confirmed,3,Adult,11,None,Confirmed
31-07-2053,Sleeper,Ladies,Bharuch,Surat,29-11-2052,Waitlisted,2,Senior Citizen,19,Senior Citizen,Not Confirmed
06-08-2053,Sleeper,Premium Tatkal,Chennai,Navsari,05-12-2052,Confirmed,1,Adult,5,Defense Quota,Confirmed
07-08-2053,1AC,Ladies,Surat,Chennai,06-12-2052,Waitlisted,1,Senior Citizen,12,Senior Citizen,Not Confirmed
13-08-2053,3AC,Ladies,Ahmedabad,Bengaluru,12-12-2052,Waitlisted,1,Adult,8,Senior Citizen,Not Confirmed
14-08-2053,2AC,Ladies,Bhavnagar,Bengaluru,13-12-2052,Waitlisted,1,Child,13,Senior Citizen,Not Confirmed
17-08-2053,2AC,Premium Tatkal,Howrah,Lucknow,16-12-2052,Waitlisted,1,Senior Citizen,16,Defense Quota,Not Confirmed
18-08-2053,2AC,Tatkal,Howrah,Bharuch,17-12-2052,Confirmed,4,Senior Citizen,27,None,Confirmed
20-08-2053,1AC,Ladies,Chennai,Chennai,19-12-2052,RAC,1,Senior Citizen,41,Senior Citizen,Confirmed
29-08-2053,2AC,Premium Tatkal,Ahmedabad,Mumbai,28-12-2052,RAC,1,Adult,21,Defense Quota,Confirmed
04-09-2053,3AC,Premium Tatkal,Chennai,Bhavnagar,03-01-2053,Waitlisted,4,Child,14,Senior Citizen,Not Confirmed
05-09-2053,2AC,Premium Tatkal,Navsari,Mumbai,04-01-2053,Confirmed,1,Senior Citizen,5,Senior Citizen,Confirmed
06-09-2053,1AC,Tatkal,Bengaluru,New Delhi,05-01-2053,RAC,2,Adult,33,None,Confirmed
07-09-2053,2AC,Premium Tatkal,Ahmedabad,Navsari,06-01-2053,Confirmed,2,Child,25,Defense Quota,Confirmed
09-09-2053,3AC,Ladies,Navsari,New Delhi,08-01-2053,Confirmed,4,Child,22,None,Confirmed
11-09-2053,1AC,General,Howrah,Surat,10-01-2053,RAC,4,Senior Citizen,37,Defense Quota,Confirmed
14-09-2053,3AC,Premium Tatkal,Ahmedabad,Mumbai,13-01-2053,Waitlisted,5,Child,6,Senior Citizen,Not Confirmed
16-09-2053,Sleeper,Tatkal,Bengaluru,Lucknow,15-01-2053,RAC,3,Child,26,Defense Quota,Confirmed
28-09-2053,1AC,Ladies,Navsari,Bengaluru,27-01-2053,RAC,5,Child,6,Senior Citizen,Confirmed
29-09-2053,2AC,General,Lucknow,Bharuch,28-01-2053,Waitlisted,4,Senior Citizen,46,Defense Quota,Not Confirmed
30-09-2053,3AC,Tatkal,Bharuch,Mumbai,29-01-2053,Waitlisted,4,Child,42,Defense Quota,Not Confirmed
01-10-2053,Sleeper,General,Bharuch,New Delhi,30-01-2053,Waitlisted,3,Senior Citizen,38,Senior Citizen,Not Confirmed
02-10-2053,1AC,Premium Tatkal,Mumbai,Bharuch,31-01-2053,RAC,1,Adult,25,Defense Quota,Confirmed
03-10-2053,3AC,Premium Tatkal,Bharuch,Bhavnagar,01-02-2053,RAC,5,Senior Citizen,27,None,Confirmed
04-10-2053,1AC,Tatkal,Mumbai,Surat,02-02-2053,Waitlisted,1,Adult,20,None,Not Confirmed
06-10-2053,3AC,General,Howrah,New Delhi,04-02-2053,Confirmed,1,Senior Citizen,4,Senior Citizen,Confirmed
10-10-2053,Sleeper,Tatkal,Navsari,New Delhi,08-02-2053,Waitlisted,4,Senior Citizen,15,Defense Quota,Not Confirmed
24-10-2053,Sleeper,Premium Tatkal,Surat,Howrah,22-02-2053,RAC,5,Senior Citizen,44,Defense Quota,Confirmed
01-11-2053,Sleeper,Premium Tatkal,Ahmedabad,Lucknow,02-03-2053,RAC,3,Senior Citizen,16,Defense Quota,Confirmed
02-11-2053,Sleeper,Premium Tatkal,Chennai,Bhavnagar,03-03-2053,Confirmed,5,Child,32,None,Confirmed
04-11-2053,2AC,Tatkal,New Delhi,Bengaluru,05-03-2053,Confirmed,3,Child,32,Defense Quota,Confirmed
06-11-2053,Sleeper,Tatkal,Howrah,Bhavnagar,07-03-2053,Waitlisted,4,Adult,15,Defense Quota,Not Confirmed
09-11-2053,1AC,Tatkal,Lucknow,Mumbai,10-03-2053,Confirmed,1,Senior Citizen,35,Senior Citizen,Confirmed
16-11-2053,Sleeper,Premium Tatkal,Lucknow,Chennai,17-03-2053,Waitlisted,2,Child,47,Senior Citizen,Not Confirmed
